,LSTM_5,LSTM_30,Conv1D_LSTM_30,LSTM_90,Conv1D_LSTM_90,LSTM_180,Conv1D_LSTM_180
2023-03-03,23477.77555419295,23490.889295758912,23495.43125106441,23496.648595832055,23528.582207656465,23515.27816851763,23508.39387396956
2023-03-04,22384.344962337054,22376.808635037392,22386.32034915313,22382.05767233949,22413.485250173137,22400.45462836884,22394.056614389643
2023-03-05,22366.089668808272,22359.59306456265,22374.20109757106,22358.186088745715,22404.352482738905,22390.988877204945,22384.724104201887
2023-03-06,22435.749029779807,22439.54150147317,22458.634911500616,22437.784340752056,22486.85111486097,22473.03186151851,22467.01151329442
2023-03-07,22430.0091530364,22434.011884770356,22451.83834600635,22436.8033690257,22481.23984109424,22466.694176008925,22461.263616121374
2023-03-08,22227.776862537023,22225.586302505806,22244.535838737153,22232.412267681677,22270.894076791126,22255.756167990156,22250.99097150145
2023-03-09,21733.016001221025,21723.729269353207,21738.284609905444,21733.173930031713,21768.192702054046,21752.531859826995,21748.60694053187
2023-03-10,20388.21610545949,20374.221790925134,20384.36372433789,20388.36903552292,20410.038982764585,20394.675580043346,20391.64610831067
2023-03-11,20228.97056605271,20201.298141691834,20205.083577253157,20213.268107668962,20233.80042566592,20217.992080972763,20215.624078053283
2023-03-12,20670.75984897092,20652.52701981878,20652.918092236854,20644.609648033977,20679.88979120925,20663.21387300454,20661.415923711378
2023-03-13,22179.87609075196,22187.81574741518,22183.72570132045,22163.197527461918,22214.94268750213,22195.4383462416,22195.1080776616
2023-03-14,24220.546308504883,24224.550092694815,24223.407802680973,24251.63621196244,24253.39003097359,24230.714420370525,24231.550945885712
2023-03-15,24788.25867430307,24775.26999193942,24772.284630469512,24805.65459978534,24803.371329254005,24779.907332088333,24780.860169790685
2023-03-16,24416.587500317954,24404.720045733266,24406.634994942695,24427.606449334882,24432.49116803147,24411.16810688004,24410.238237764686
2023-03-17,25095.158895305358,25082.346702259965,25082.89024984371,25108.389201876707,25110.933721334673,25091.990192083642,25088.07784409076
2023-03-18,27451.26336146798,27471.11059680581,27463.84973209072,27491.43840265833,27487.57422341779,27469.587155582383,27462.555133969523
2023-03-19,27020.51717803115,26997.198591015767,27003.99743462447,27031.424259054475,27028.43148203334,27013.10434901854,27003.82384712808
2023-03-20,28073.096543692984,28067.818782584276,28082.208118602633,28105.30124811502,28103.533081157133,28090.38380173873,28078.096879740246
2023-03-21,27827.31487028068,27792.591789993457,27811.21448300546,27840.644693380455,27831.426030024886,27819.254746305523,27806.24600411975
2023-03-22,28231.048826811835,28200.957166886423,28222.174826865084,28252.565421686508,28240.749096246436,28228.680859377142,28215.353065361734
2023-03-23,27375.619763188064,27329.430308312178,27350.511632561684,27388.70607008785,27370.228986017406,27358.516415812075,27345.71983063221
2023-03-24,28373.694087795913,28358.538470164407,28378.402563610114,28413.952569309156,28398.8003293504,28386.593420030084,28373.66031106841
2023-03-25,27537.947035410907,27512.20590391243,27532.624448505696,27572.225937160663,27555.979592770804,27543.728466014843,27531.76247784309
2023-03-26,27502.68804688705,27508.836870433297,27533.907420169562,27570.269386279397,27557.109723945614,27544.25815831404,27533.150288912002
2023-03-27,27982.412993346574,28005.38950656401,28028.753133148653,28068.295428735204,28057.4896262954,28043.590254102135,28033.445214133942
2023-03-28,27125.9605897984,27145.385492188158,27173.649307524087,27217.701517873676,27200.88428892265,27186.27355288132,27177.78405523463
2023-03-29,27253.238169010612,27273.055540353293,27298.12753004674,27339.030012389878,27329.177399818785,27313.37291208515,27306.179302180884
2023-03-30,28329.994964669226,28357.660402793437,28380.224640300963,28413.136593136936,28411.568552669138,28394.100446681958,28387.9769783034
2023-03-31,28024.347318101674,28042.27473180741,28057.48019967228,28106.0040223971,28095.74450891465,28077.39100792259,28072.638881482184
2023-04-01,28468.328531979583,28486.92070122622,28502.96499810554,28549.65166139044,28541.323971960694,28521.78292819485,28518.163964912295
2023-04-02,28391.464189690305,28415.560000296682,28430.2657434484,28482.38950832747,28473.329659656156,28453.679101902526,28450.59705992462
2023-04-03,28172.659354820615,28199.70862647565,28215.333434112836,28266.245162095875,28260.74555252306,28241.43977148598,28238.558863537386
2023-04-04,27768.947221011505,27789.455434205243,27802.938743743813,27858.210374294547,27850.514618014917,27831.681051742984,27828.89162996621
