date,cost-per-transaction-percent_x,cost-per-transaction-percent_y,hash-rate,n-transactions-excluding-popular,difficulty,mempool-size,blocks-size,avg-confirmation-time,output-volume,avg-block-size,market-price,market-cap,n-unique-addresses,mempool-count,mempool-growth,n-transactions-total,miners-revenue,n-transactions-per-block,estimated-transaction-volume,median-confirmation-time,n-transactions,estimated-transaction-volume-usd,cost-per-transaction
2014-06-11,2.85136676564906,2.85136676564906,85325.5193927891,62827.0,11756551916.904,,19811.248105,,533894.910344221,0.251775746575342,648.55,8353080793.75,145154.0,,,40473834.0,2732109.18704523,430.321917808219,147741.16002194,7.8,62827.0,95817529.3322293,38.9100658973058
2014-06-12,0.653111440972754,0.653111440972754,90585.3116841254,64744.0,11756551916.904,,19848.203455,,1111447.58093751,0.230417889534884,624.97,8051660376.75,146361.0,,,40536814.0,3477994.08182039,376.418604651163,852083.933086719,7.71666666666667,64744.0,532526895.661207,46.5925500263961
2014-06-13,4.14576653779168,4.14576653779168,98182.7894382778,64739.0,11756551916.904,,19887.478142,,746631.527250296,0.23105826993865,574.85,7408422488.75,146417.0,,,40601012.0,2666109.45247941,397.171779141104,111871.27740267,7.35,64739.0,64309203.8149249,36.2036535194509
2014-06-14,6.36068294461393,6.36068294461393,102858.16036391,53596.0,11756551916.904,,19925.114813,,460635.313267111,0.175539230337079,591.55,7626055557.5,128268.0,,,40665742.0,3378320.32975696,301.101123595506,89785.37890064,6.96666666666667,53596.0,53112540.8886736,52.4543176734253
2014-06-15,10.4343769908082,10.4343769908082,108702.37402095,53916.0,11756551916.904,,19956.522422,,447016.409284431,0.171801721052632,572.28,7380180108.0,156625.0,,,40719484.0,3554349.15871317,283.768421052632,59523.02525116,6.26666666666667,53916.0,34063836.8907338,56.5961141160022
2014-06-16,5.33117994041584,5.33117994041584,118637.537237919,68262.0,11756551916.904,,19989.22844,,741260.561498812,0.216450079787234,592.89,7648784956.5,151411.0,,,40774045.0,3357698.58037231,363.095744680851,106229.28060928,5.8,68262.0,62982278.180436,44.2116580250745
2014-06-17,6.50267121473185,6.50267121473185,104027.003095318,70077.0,11756551916.904,,20030.070808,,483436.551380298,0.214619630434783,586.0,7562652300.0,161493.0,,,40842229.0,3465497.66274646,380.853260869565,90944.44947043,6.38333333333333,70077.0,53293447.389672,42.8898225587433
2014-06-18,4.70849770646662,4.70849770646662,113768.842858603,63888.0,13462580114.5253,,20069.329778,,549689.613936265,0.234856905063291,608.0,7849371200.0,144626.0,,,40911844.0,2653182.8809552,404.354430379747,92678.97969148,6.5,63888.0,56348819.6524198,38.7224215674013
2014-06-19,5.80990515795365,5.80990515795365,101053.501597935,62454.0,13462580114.5253,,20106.491822,,723576.463928825,0.226365461077844,608.0,7851772800.0,132614.0,,,40975842.0,3124036.51946112,373.976047904192,88438.93006766,8.11666666666667,62454.0,53770869.4811373,44.0116722473461
2014-06-20,7.2718600760036,7.2718600760036,123807.270169656,57381.0,13462580114.5253,,20144.120238,,563146.486382393,0.178434682795699,595.15,7688311366.25,133214.0,,,41037924.0,3429551.41602032,308.5,79243.8133926101,5.71666666666667,57381.0,47161955.5406119,50.7863498055698
2014-06-21,8.9476987116813,8.9476987116813,126484.18411927,51173.0,13462580114.5253,,20177.711706,,461927.046746102,0.168137698924731,593.48,7669497529.0,130125.0,,,41095838.0,3180962.87500238,275.123655913978,59901.9776054,5.88333333333333,51173.0,35550625.6692528,58.0806835196169
2014-06-22,9.91522265660624,9.91522265660624,129161.098068884,50104.0,13462580114.5253,,20208.802265,,528044.174882565,0.176881305555556,590.96,7639679722.0,163514.0,,,41146855.0,3522657.11801796,278.355555555556,60118.73247464,5.9,50104.0,35527766.1432133,59.2202460832823
2014-06-23,3.76225897665513,3.76225897665513,105738.10100976,60216.0,13462580114.5253,,20240.84972,,623384.095218053,0.204360852272727,598.76,7743209227.0,136813.0,,,41197232.0,3540092.79362386,342.136363636364,157149.56354909,8.25,60216.0,94094872.6706531,52.5657469430087
2014-06-24,2.73978618428383,2.73978618428383,132507.240505902,64883.0,13462580114.5253,,20276.719735,,882381.495034408,0.202052718085106,588.25,7609881418.75,148534.0,,,41257513.0,3183637.21807602,345.122340425532,197535.4135507,6.01666666666667,64883.0,116200207.021199,45.6226135403976
2014-06-25,4.62244457572187,4.62244457572187,124476.498657059,64397.0,13462580114.5253,,20314.334707,,503311.050089334,0.203568347593583,574.98,7440916801.5,150394.0,,,41321585.0,2925711.45846495,344.368983957219,110079.65037256,5.75,64397.0,63293597.3712146,42.5428081380953
2014-06-26,4.65608417469844,4.65608417469844,114438.071346006,61432.0,13462580114.5253,,20352.335686,,513326.250977958,0.205764573099415,560.76,7259514846.0,136793.0,,,41385984.0,2992633.06533511,359.251461988304,114618.73736004,6.21666666666667,61432.0,64273603.162016,41.8801945972418
2014-06-27,6.48939486728188,6.48939486728188,125145.727144463,62966.0,13462580114.5253,,20387.727861,,487614.045979167,0.184046842639594,577.34,7476625167.5,144281.0,,,41447698.0,3485349.38860833,319.624365482233,93027.3118482399,6.0,62966.0,53708388.2224629,49.5669461944413
2014-06-28,9.24796288399819,9.24796288399819,125145.727144463,54392.0,13462580114.5253,,20423.968822,,339025.571161611,0.178338983516484,599.0,7760074950.0,119637.0,,,41510593.0,3390821.48285489,298.857142857143,61211.35954065,5.58333333333333,54392.0,36665604.3648494,52.5464355006181
2014-06-29,7.91376974081242,7.91376974081242,145472.743415772,49922.0,16818461371.1611,,20456.672486,,369039.971879722,0.197187126582279,590.0,7646164000.0,155427.0,,,41565324.0,2867568.6921274,315.962025316456,61415.55893135,6.71666666666667,49922.0,36235179.7694965,49.6067655974708
2014-06-30,3.65099284825887,3.65099284825887,104506.281189491,69403.0,16818461371.1611,,20488.265103,,670095.338531695,0.326334763358778,599.99,7778000364.5,153158.0,,,41615789.0,2302759.22460592,529.793893129771,105121.98098225,9.3,69403.0,63072137.3695402,29.9565399324304
2014-07-01,2.35829465215835,2.35829465215835,115374.934433198,69443.0,16818461371.1611,,20530.930448,,891551.80631357,0.329402015037594,638.99,8285671506.75,157472.0,,,41685191.0,2485724.37831526,522.127819548872,164953.23751804,8.31666666666667,69443.0,105403469.241652,32.8669096696451
2014-07-02,3.10643814856841,3.10643814856841,116210.984682714,66728.0,16818461371.1611,,20574.659818,,944001.279715561,0.291681109489051,639.25,8291168387.5,152173.0,,,41755083.0,2261661.30916854,487.065693430657,113892.23640073,8.26666666666667,66728.0,72805612.1191667,33.2881179413109
2014-07-03,3.71071803808363,3.71071803808363,111194.683185619,62849.0,16818461371.1611,,20614.369858,,604883.464547067,0.267267525179856,650.49,8439180801.75,135992.0,,,41821224.0,2560998.376542,452.151079136691,106098.86138892,8.16666666666667,62849.0,69016248.3448786,37.0450497098594
2014-07-04,7.09372630580252,7.09372630580252,133768.039922549,59494.0,16818461371.1611,,20651.321228,,389934.986502046,0.197773548192771,645.35,8374739217.5,122293.0,,,41883535.0,3298718.39247022,358.397590361446,72056.88757711,7.36666666666667,59494.0,46501912.397888,48.8380669263031
2014-07-05,8.03469781491331,8.03469781491331,127079.637926421,49954.0,16818461371.1611,,20684.353853,,421945.419460248,0.184142802631579,626.16,8128308192.0,110447.0,,,41943394.0,2603938.92237504,328.644736842105,51757.81391904,7.96666666666667,49954.0,32408672.7635461,50.2458112529917
