date,Cost % of Transaction Volume,Hash Rate,Number of Transactions Excluding Popular Addresses,Difficulty,Mempool Size,Blockchain Size,Average Confirmation Time,Output Value,Average Block Size,Market Price (USD),Market Capitalization,Number Of Unique Addresses Used,Mempool Transaction Count,Mempool Size Growth,Total Number of Transactions,Miners Revenue,Average Number Of Transactions Per Block,Estimated Transaction Value,Median Confirmation Time,Confirmed Transactions Per Day,Estimated USD Transaction Value,Cost per Transaction
2023-01-06,1.2952434321101314,305064103.23047346,274971.0,34093570325204.0,2391455.5,446888.091119,10.35917763705338,996723.0636320309,1.0527042888888885,16826.41,324266710162.5,685990.0,1498.5,1368.4166666666667,793726799.0,19587656.115701865,1533.727777777778,89839.74514356999,4.5,276071.0,1512276042.4880793,69.9719082779702
2023-01-07,1.6524722510338978,260999288.3194051,246219.0,34093570325204.0,1190118.0,447076.860037,8.53421910778892,746382.9465509554,0.956566363636364,16951.97,326711734650.0,601071.0,558.0,1632.5166666666669,794002725.0,16669607.643204875,1601.8116883116884,59496.366312100006,5.033333333333333,246679.0,1008767780.0807396,67.25955311170463
2023-01-08,2.1814557242535315,259304487.74590245,228060.0,34093570325204.0,2144393.5,447225.168643,7.687598870175209,713516.5269486653,0.9051754509803916,16945.2,326535510912.5,565595.0,2140.5,789.4666666666667,794250302.0,16331614.696256422,1493.3856209150326,44145.44721127999,4.533333333333333,228488.0,748656711.8773363,71.47690336585038
2023-01-09,0.938869281015174,257609687.17239985,286843.0,34093570325204.0,910222.5,447363.592726,18.918466971382585,1053342.293093283,1.2354843881578947,17108.41,330056410000.0,662916.0,1105.5,1024.6833333333334,794478869.0,16568165.610140678,1890.440789473684,102295.23039462008,6.1625,287347.0,1764693546.28644,57.65908678406483
2023-01-10,1.0280324036794029,286421296.9219445,302322.0,34093570325204.0,36335017.5,447551.392077,56.05017816022571,976337.6001155048,1.3784992485207108,17192.07,330939278250.0,695664.0,5933.0,1425.2,794766348.0,18671443.668399256,1791.7692307692307,105020.53511093998,5.516666666666667,302809.0,1816231045.0111103,61.47665473139135
2023-01-11,1.0036911329702924,249135684.30488667,287033.0,34093570325204.0,1694014.5,447784.235864,25.78227193511638,861426.9800475255,1.2952269591836736,17443.68,335964641531.25,661284.0,2453.5,1273.6333333333334,795068665.0,16247214.47177786,1955.7414965986395,92743.30740500004,6.5,287494.0,1618746438.8268888,56.513229743152415
2023-01-12,0.7851277639657883,255914886.5988972,315168.0,34093570325204.0,14516488.5,447974.714095,57.13439729985251,1084938.9204250053,1.3506500198675495,17934.6,345745197600.0,717816.0,8553.5,1588.2,795356525.0,17645261.628721908,2092.582781456954,122156.97182285,8.408333333333333,315980.0,2247438243.6297073,55.84296989911358
2023-01-13,0.7834813697776344,269473291.1869182,316064.0,34093570325204.0,2805484.0,448178.571012,12.173993076505008,1086017.611230299,1.278143056603773,18859.32,363173513150.0,743545.0,1180.0,1782.2833333333333,795671180.0,19299222.303412113,1990.874213836478,129019.50106531002,6.216666666666667,316549.0,2463264992.3621755,60.96756680138656
2023-01-14,0.9202232013457862,289810898.0689498,309372.0,34093570325204.0,3345226.5,448381.807869,7.974888843027799,923781.2199786324,1.1134006608187137,19933.36,383878954625.0,725858.0,3830.5,1622.5,795989059.0,22543151.069033355,1812.1637426900584,117777.7707815,5.708333333333333,309880.0,2449748173.711006,72.74800267533676
2023-01-15,1.9304813910987688,280250606.7848099,251669.0,34586995580398.72,1422729.0,448571.713662,6.6085843710424355,752455.5370939483,0.8761467300613498,20955.15,403856133587.5,605147.0,1072.0,1156.1666666666667,796298027.0,21360708.69711005,1546.5398773006134,53131.13542512001,4.266666666666667,252086.0,1106496482.9809735,84.73579927925408
