date,avg-block-size,avg-confirmation-time,blocks-size,cost-per-transaction-percent,cost-per-transaction,difficulty,estimated-transaction-volume-usd,estimated-transaction-volume,hash-rate,market-cap,market-price,median-confirmation-time,mempool-count,mempool-growth,mempool-size,miners-revenue,n-transactions-excluding-popular,n-transactions-per-block,n-transactions-total,n-transactions,n-unique-addresses,output-volume,total-bitcoins,trade-volume,transaction-fees-usd,transaction-fees,transactions-per-second
2014-05-07,0.244229037735849,,18499.960942,3.77579287633145,25.3554298262524,8000872135.96816,56580092.3253076,132193.388765,64829.2583176404,5452234396.241198,428.01,7.98333333333333,,,,2136347.09544072,69825.0,439.150943396226,38244287.0,69825.0,139545.0,840071.956870138,12738567.781690141,3441714.012,6997.3454407197,13.54172333,
2014-05-08,0.231275491017964,,18539.021885,5.27518007134383,29.2229457394135,8000872135.96816,43378112.4479435,98389.8395208301,62045.1797395822,5617967541.851352,440.88,8.13333333333333,,,,2288273.54317903,68937.0,412.796407185629,38314405.0,68937.0,140028.0,1349234.53233423,12742622.804054054,5829236.0016,6719.5431790344,13.58433577,
2014-05-09,0.217087770588235,,18577.356829,6.23419775331861,30.2132033959122,8000872135.96816,36974863.9856775,84492.73093777,66022.4348510939,5578154498.625,437.61,7.6,,,,2305086.13988772,66293.0,389.958823529412,38382829.0,66293.0,136384.0,1255094.39227717,12746862.5,2766110.9295,7633.6398877224,15.57402453,
2014-05-10,0.170755251396648,,18614.303763,9.59752221635578,39.4936672634106,8000872135.96816,25665577.6913793,57161.64296521,70397.4154737568,5725288938.580247,449.0,6.63333333333333,,,,2463259.52088618,56416.0,315.173184357542,38449155.0,56416.0,115894.0,680089.585980874,12751200.308641976,4082047.58,4984.52088618,10.09687328,
2014-05-11,0.217980046052632,,18644.875945,7.98626090283827,34.7974221425519,8000872135.96816,26386529.480672,57738.57654414,66022.4348510939,5829182117.572464,457.0,7.85,,,,2107297.0875308,52590.0,345.986842105263,38505748.0,52590.0,145663.0,450023.281929037,12755321.920289855,1873914.79,5097.0875308,9.70016918,
2014-05-12,0.256592359756097,,18678.100568,4.91211642453609,24.6574427974667,8853416309.1278,44263879.7203582,101102.94356081,69096.5967636062,5586136728.383333,437.81,7.76666666666667,,,,2174293.30588062,74418.0,453.768292682927,38558920.0,74418.0,128562.0,553883.032683005,12759271.666666666,3889416.478,7133.8058806154,13.93177704,
2014-05-13,0.231819092592593,,18720.181929,5.81090874557915,27.8327059565074,8853416309.1278,37797226.239645,85427.11320973,74817.9710179175,5647136328.253425,442.45,7.0,,,,2196362.32514587,69357.0,428.12962962963,38633209.0,69357.0,126152.0,678338.794865715,12763332.191780822,2031951.625,6234.82514587,12.37220357,
2014-05-14,0.263311986666667,,18757.736308,3.23759553468135,24.8240172698812,8853416309.1278,57822343.5978949,131677.77281357,66015.8567805155,5606358819.1285715,439.12,7.4,,,,1872053.61437355,69808.0,465.386666666667,38702439.0,69808.0,136797.0,729099.518388212,12767259.107142856,2620878.9376,5793.6143735536,12.08030118,
2014-05-15,0.247333789473684,,18797.21037,4.95304944143551,27.4707887453156,8853416309.1278,47037640.5694627,105785.76536481,73057.5481704371,5678770678.4232025,444.65,7.5,,,,2329797.59349022,74893.0,437.970760233918,38772059.0,74893.0,149729.0,826657.616410767,12771327.287581699,2844759.5375,6501.343490218,12.8013398,
2014-05-16,0.210022596685083,,18839.231896,6.7977870464255,32.5696110741293,8853416309.1278,33417716.937645,74838.68259164,80099.2395603588,5704697024.116959,446.53,6.26666666666667,,,,2271665.23319837,65433.0,361.508287292818,38846374.0,65433.0,123629.0,651741.425215487,12775618.713450292,2454588.8059,5525.4831983729,11.63597683,
